date,amount,account_id
2019-12-16,-29.09,1
2019-12-16,160.0,1
2019-12-16,-14.0,1
2019-12-17,-94.5,1
2019-12-17,50.0,1
2019-12-17,-21.11,1
2019-12-17,-1000.0,1
2019-12-17,-49.95,1
2019-12-17,295.98,1
2019-12-17,1761.37,1
2019-12-17,-600.0,1
2019-12-17,-10.0,1
2019-12-18,-0.8,1
2019-12-18,-0.8,1
2019-12-19,-0.65,1
2019-12-19,-300.0,1
2019-12-19,-16.1,1
2019-12-19,-0.99,1
2019-12-19,-2.35,1
2019-12-20,840.0,1
2019-12-23,-10.75,1
2019-12-23,-0.84,1
2019-12-23,-71.86,1
2019-12-23,-15.99,1
2019-12-23,-45.7,1
2019-12-24,99.0,1
2019-12-24,-2.36,1
2019-12-24,99.0,1
2019-12-24,42.07,1
2019-12-27,43.45,1
2019-12-27,50.0,1
2019-12-27,95.0,1
2019-12-27,-1334.68,1
2019-12-30,-157.96,1
2019-12-30,97.0,1
2019-12-30,-30.92,1
2019-12-30,-3.0,1
2019-12-30,-0.87,1
2019-12-30,-20.0,1
2019-12-30,-7.5,1
2019-12-31,-29.08,1
2019-12-31,45.15,1
2019-12-31,-14.99,1
2020-01-02,-50.0,1
2020-01-02,-19.99,1
2020-01-02,-107.13,1
2020-01-02,-29.5,1
2020-01-02,45.0,1
2020-01-02,-23.98,1
2020-01-02,-24.4,1
2020-01-03,-9.99,1
2020-01-03,-48.32,1
2020-01-03,-46.14,1
2020-01-04,300.0,1
2020-01-06,-17.4,1
2020-01-06,545.0,1
2020-01-06,-27.7,1
2020-01-06,-51.3,1
2020-01-06,-400.0,1
2020-01-07,2300.0,1
2020-01-07,-1200.0,1
2020-01-07,-12.3,1
2020-01-07,-45.28,1
2020-01-07,59.44,1
2020-01-07,-41.81,1
2020-01-07,-25.18,1
2020-01-08,99.0,1
2020-01-08,-35.99,1
2020-01-09,-909.15,1
2020-01-10,-60.02,1
2020-01-10,91.0,1
2020-01-10,45.0,1
2020-01-13,-5.3,1
2020-01-13,-25.26,1
2020-01-13,210.0,1
2020-01-13,-64.67,1
2020-01-13,-160.0,1
2020-01-14,99.0,1
2020-01-14,-2.35,1
2020-01-15,260.0,1
2020-01-15,-500.0,1
2020-01-15,-37.16,1
2020-01-15,43.45,1
2020-01-16,-113.34,1
2020-01-16,-63.75,1
2020-01-20,-49.99,1
2020-01-20,-59.9,1
2020-01-21,-0.99,1
2020-01-21,216.24,1
2020-01-21,-0.7,1
2020-01-21,-89.17,1
2020-01-21,-16.1,1
2020-01-21,-13.9,1
2020-01-22,-400.0,1
2020-01-22,75.0,1
2020-01-22,-8.99,1
2020-01-22,700.0,1
2020-01-24,99.0,1
2020-01-24,-15.99,1
2020-01-24,-10.58,1
2020-01-28,480.0,1
2020-01-28,-690.0,1
2020-01-29,100.0,1
2020-01-30,-57.99,1
2020-01-30,103.49,1
2020-01-30,99.0,1
2020-01-31,650.0,1
2020-01-31,149.13,1
2020-02-03,-17.99,1
2020-02-03,-125.0,1
2020-02-03,-107.13,1
2020-02-04,52.85,1
2020-02-05,-27.7,1
2020-02-05,-6.64,1
2020-02-05,-41.81,1
2020-02-05,-51.3,1
2020-02-05,31.6,1
2020-02-06,-52.8,1
2020-02-06,250.0,1
2020-02-07,660.0,1
2020-02-07,-1600.0,1
2020-02-08,-0.8,1
2020-02-10,-32.0,1
2020-02-10,-35.99,1
2020-02-11,160.0,1
2020-02-11,38.71,1
2020-02-11,-160.0,1
2020-02-11,49.0,1
2020-02-12,-139.07,1
2020-02-12,-77.36,1
2020-02-13,-30.0,1
2020-02-13,-300.0,1
2020-02-13,545.0,1
2020-02-14,-20.14,1
2020-02-17,250.0,1
2020-02-17,509.0,1
2020-02-17,-700.0,1
2020-02-18,56.7,1
2020-02-18,-40.8,1
2020-02-20,44.24,1
2020-02-20,-0.7,1
2020-02-20,-16.1,1
2020-02-20,-192.5,1
2020-02-21,-20.0,1
2020-02-21,-33.34,1
2020-02-21,-0.99,1
2020-02-21,-7.0,1
2020-02-21,-47.74,1
2020-02-24,99.0,1
2020-02-24,-10.29,1
2020-02-24,-29.0,1
2020-02-24,-15.99,1
2020-02-25,250.0,1
2020-02-25,-26.79,1
2020-03-02,2591.92,1
2020-03-03,70.31,1
2020-03-03,413.95,1
2020-03-03,-2500.0,1
2020-03-03,-1.46,1
2020-03-03,-107.13,1
2020-03-03,3000.0,1
2020-03-04,-15.58,1
2020-03-04,-1000.0,1
2020-03-04,-245.0,1
2020-03-04,-0.8,1
2020-03-05,-29.7,1
2020-03-05,-1000.0,1
2020-03-05,-51.3,1
2020-03-05,-1000.0,1
2020-03-05,-41.81,1
2020-03-05,-29.99,1
2020-03-06,-58.22,1
2020-03-06,-0.8,1
2020-03-09,135.0,1
2020-03-09,36.4,1
2020-03-09,3000.0,1
2020-03-09,-2600.0,1
2020-03-09,-550.0,1
2020-03-10,-200.0,1
2020-03-10,-35.99,1
2020-03-10,-76.59,1
2020-03-10,-0.8,1
2020-03-10,64.07,1
2020-03-10,-0.8,1
2020-03-11,43.45,1
2020-03-11,-0.8,1
2020-03-11,-160.0,1
2020-03-12,-210.0,1
2020-03-12,-1.99,1
2020-03-12,-11.48,1
2020-03-13,-400.0,1
2020-03-13,-0.8,1
2020-03-13,80.0,1
2020-03-13,500.0,1
2020-03-13,-4.0,1
2020-03-14,-0.8,1
2020-03-16,252.0,1
2020-03-16,47.74,1
2020-03-17,50.0,1
2020-03-18,-500.0,1
2020-03-18,25.9,1
2020-03-19,-0.7,1
2020-03-19,-0.8,1
2020-03-19,-0.99,1
2020-03-19,-16.1,1
2020-03-20,500.0,1
2020-03-23,75.0,1
2020-03-23,30.0,1
2020-03-23,-3500.0,1
2020-03-23,-96.64,1
2020-03-23,-19.56,1
2020-03-23,2600.0,1
2020-03-23,-10.75,1
2020-03-23,-500.0,1
2020-03-23,1000.0,1
2020-03-24,-200.0,1
2020-03-24,99.0,1
2020-03-24,-0.8,1
2020-03-24,-0.8,1
2020-03-25,50.0,1
2020-03-25,-4000.0,1
2020-03-25,10000.0,1
2020-03-25,-0.8,1
2020-03-26,-0.8,1
2020-03-26,-4000.0,1
2020-03-27,-0.8,1
2020-03-27,-1650.0,1
2020-03-27,-380.0,1
2020-03-28,-0.8,1
2020-03-28,-0.8,1
2020-03-30,-10.26,1
2020-03-31,250.0,1
2020-03-31,-14.99,1
2020-03-31,-39.67,1
2020-04-01,-107.13,1
2020-04-02,-500.0,1
2020-04-02,-1.65,1
2020-04-02,433.25,1
2020-04-02,500.0,1
2020-04-03,-29.99,1
2020-04-03,-0.8,1
2020-04-03,-11.99,1
2020-04-03,-365.0,1
2020-04-03,-120.0,1
2020-04-04,-0.8,1
2020-04-07,49.0,1
2020-04-07,-259.14,1
2020-04-07,-41.81,1
2020-04-07,-600.0,1
2020-04-07,1500.0,1
2020-04-07,-29.7,1
2020-04-07,-45.7,1
2020-04-07,-51.3,1
2020-04-08,-35.99,1
2020-04-08,-127.81,1
2020-04-08,-0.8,1
2020-04-09,-350.0,1
2020-04-10,-0.8,1
2020-04-14,60.0,1
2020-04-14,160.0,1
2020-04-15,250.0,1
2020-04-15,-160.0,1
2020-04-16,-5.95,1
2020-04-20,-84.5,1
2020-04-21,-12.8,1
2020-04-21,-15.99,1
2020-04-21,-14.61,1
2020-04-21,-0.99,1
2020-04-21,-0.7,1
2020-04-21,-16.1,1
2020-04-21,-96.64,1
2020-04-22,-8.0,1
2020-04-24,99.0,1
2020-04-27,50.0,1
2020-04-27,5.95,1
2020-04-27,-126.7,1
2020-04-27,-9.99,1
2020-04-30,-19.53,1
2020-04-30,150.0,1
2020-04-30,65.0,1
2020-04-30,-11.94,1
2020-05-04,350.0,1
2020-05-04,150.0,1
2020-05-04,-120.0,1
2020-05-04,-29.99,1
2020-05-04,-33.38,1
